date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:03	485/485	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:19:03%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/image/	www.mathstar.biz/sfarim/mathematika7B/files/assets/image/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/)
17:19:03	914/914	---M--	200	added ('OK')	application/x-shockwave-flash	date:Mon,%2021%20Nov%202011%2014:24:37%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/style-properties.swf	www.mathstar.biz/sfarim/mathematika7B/files/assets/style-properties.swf	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/)
17:19:04	28489/28489	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:19:04%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/)
17:19:04	26481/26481	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:19:04%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/pages/	www.mathstar.biz/sfarim/mathematika7B/files/assets/pages/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/)
17:19:05	13979/13979	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:19:05%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/search/	www.mathstar.biz/sfarim/mathematika7B/files/assets/search/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/)
17:19:05	557/557	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:19:05%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/seo/	www.mathstar.biz/sfarim/mathematika7B/files/assets/seo/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/)
17:19:06	849/849	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:19:06%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/shared_icon/	www.mathstar.biz/sfarim/mathematika7B/files/assets/shared_icon/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/)
17:19:06	419/419	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:19:06%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/sound/	www.mathstar.biz/sfarim/mathematika7B/files/assets/sound/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/)
17:19:12	81397/81397	---M--	200	added ('OK')	application/x-shockwave-flash	date:Mon,%2021%20Nov%202011%2014:24:36%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/alchemy.swf	www.mathstar.biz/sfarim/mathematika7B/files/assets/alchemy.swf	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/)
17:19:47	568632/568632	---M--	200	added ('OK')	application/x-shockwave-flash	date:Mon,%2021%20Nov%202011%2014:24:28%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/framework_3.6.0.16995.swf	www.mathstar.biz/sfarim/mathematika7B/files/framework_3.6.0.16995.swf	(from http://www.mathstar.biz/sfarim/mathematika7B/files/)
